gene estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue
PDK2 -387.489158849164 0.0532672233056527 0.175648105662653 0.861013538043966 -420.238071897873 0.195658665525951 0.174960429447011 0.851126361424613 -573.740692241116 0.252891459826724 0.135902919410501 0.82808322559543 -677.965013780867 0.659008145082419 0.0328085523838938 0.636323898704904 -729.949428791443 0.809373116932952 0.0508865431144505 0.707438207100228 -383.442962438588 0.938053557225394 0.250543689320185 0.928421079865865 -329.559368146396 0.978623923215476 0.357189609130077 0.968561359096546
ITGA3 552.422724190685 0.00322529860617723 0.742163034848886 0.987045085424711 412.652262593436 0.209914400673966 0.802105826761507 0.98729081781077 721.768590508075 0.382243024055248 0.659420334256507 0.976588016861733 -1667.58084816869 0.630163371273337 0.334860377822467 0.923611488650873 -796.165066494873 0.774314726098843 0.63432007277956 0.970129316916558 -1377.684248455 0.96648204420666 0.204737833672478 0.910037983708856 -72.8497574029341 0.985761519615323 0.95898803965905 0.998898696998017
GGNBP2 -26.3633919127278 0.000200255904265829 0.934714665593827 0.996686921374013 122.750551847992 0.0809654812623715 0.744053997419209 0.98504065850042 108.191650522126 0.375213132320366 0.759919251536284 0.978541129658351 211.695323681086 0.646668912294111 0.519446295258701 0.948321006065003 -0.345377425828187 0.729405752675679 0.999251150274276 0.99976025798044 146.344813140902 0.834064833630115 0.707053348047343 0.997377122847242 -117.005707653762 0.972509741865324 0.684164749405561 0.993682253970448
ASB4 2.26288357669732 0.0650624459890121 0.13325489012067 0.826269531803694 2.9202616808638 0.463264398668039 0.0281131310887187 0.579731447782382 3.30407986665017 0.625613448199505 0.0160287497520318 0.458680677473185 3.49828491128872 0.710118987585999 0.033536416679694 0.64250866589999 4.97779326975388 0.77889297655999 0.0323359525223552 0.639795735675315 6.16691319284709 0.8131345350257 0.0899859808540211 0.811768107394888 2.34201158186262 0.919023437984328 0.672179988514302 0.993682253970448
GDE1 -2100.68356196367 0.00722162350073406 0.622168582087708 0.97346226277352 -2302.44188302117 0.455892820826361 0.50863089141641 0.95990609498412 3660.35877701554 0.821412205973084 0.253752491653718 0.894383054492249 5358.19761194866 0.888647063585516 0.17922818311924 0.867430992151466 1959.7558751957 0.91460824085906 0.678553088727867 0.977576684655186 -584.114684877115 0.946185124149743 0.920107168060224 0.997956125616365 -15258.3464585452 0.991693674978589 0.125058420891125 0.944339327139733
OSBPL7 19261.9116816545 0.0323286371502346 0.294031473694716 0.916885738983655 21651.6891586964 0.236669431045331 0.245478304748382 0.879580983141601 22950.7745935533 0.553986842575932 0.244365361491756 0.892341560590397 23481.0479314899 0.662801617362482 0.322949906518126 0.915391326725807 30432.5942431461 0.793870310954598 0.315784362373893 0.929717453690753 10455.9050590371 0.866203536320877 0.826671249111697 0.997956125616365 -66505.4484313905 0.963730819512473 0.479405990315581 0.986692878194305
TMEM98 652.694417292668 0.0528624866059851 0.177343817423412 0.861207484994962 685.987116348279 0.204407314991363 0.165711404863695 0.844484927837838 789.638780640156 0.339959896083385 0.133358677024532 0.824604435035349 812.529153453836 0.62420094140923 0.123618471440387 0.829225527894316 510.695197803348 0.706894251763602 0.405163937308038 0.937341093505498 1568.79149297713 0.811125462790411 0.0923199783000782 0.816701831748725 1050.94714480181 0.895294408818695 0.46133512692177 0.982056211916127
ABCC8 1163.24954752285 0.144315114289571 0.0222942807448802 0.557396191999963 1108.38338801646 0.310971029530529 0.0332727407645136 0.612078170269917 664.102169543455 0.486345081021691 0.211593562543914 0.88230575844261 222.635635479846 0.723422657383409 0.638037942731067 0.963361472972597 99.4585727918134 0.775899540071076 0.852436691435376 0.992053727254334 -84.176003030659 0.854259119042529 0.884139761313203 0.997956125616365 -486.885147325963 0.93560791788067 0.524331767907865 0.989308201315624
SYNRG 36.9025912733169 0.000925098809131407 0.860221111075395 0.993303242340375 -26.2448104876883 0.220096547527645 0.907770226938595 0.99672003530929 -21.9188021772767 0.508487762749208 0.920010395040039 0.991005132002935 -46.8239003083211 0.601703364134089 0.848994919934755 0.991439732778473 -41.7091112027967 0.816395898214528 0.85872293621432 0.992053727254334 -223.765951285432 0.897717080274538 0.36658188852155 0.965785256313022 -157.168472851095 0.970728706271454 0.559206759470214 0.989308201315624
CACNG3 -0.565295992131888 0.0477377844499885 0.200472422026458 0.87524371302313 -0.860581496170933 0.168702749469288 0.137191499117728 0.829643142035316 -1.03332927498444 0.211122185000042 0.135947565543316 0.82808322559543 -0.432550030111882 0.41645893058347 0.568600384649692 0.95487557361928 -1.24688288260999 0.631744191659677 0.132322097594715 0.830135253137611 -0.497724874428139 0.69155593403785 0.657923113648285 0.997377122847242 1.14251671590451 0.786748496300206 0.653089663318911 0.991883083018184
